X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
-73.122511,7.122039,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 33,,,,,-1,0,-1,,
-73.121814,7.120339,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 35,,,,,-1,0,-1,,
-73.121206,7.118861,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 21 CALLE 37,,,,,-1,0,-1,,
-73.118911,7.116033,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 AV. ROSITA,,,,,-1,0,-1,,
-73.122566,7.124873,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22  AV. Q. SECA,,,,,-1,0,-1,,
-73.117826,7.108166,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 17C CALLE 56,,,,,-1,0,-1,,
-73.121273,7.121453,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 34,,,,,-1,0,-1,,
-73.121602,7.122405,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 33,,,,,-1,0,-1,,
-73.120341,7.119144,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 22 CALLE 37,,,,,-1,0,-1,,
-73.117954,7.124749,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 32,,,,,-1,0,-1,,
-73.115574,7.118785,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 27 CALLE 41,,,,,-1,0,-1,,
-73.11311,7.109218,INTERSECCIÓN SEMAFÓRICA,INTERSECCIÓN SEMAFÓRICA    <br>       <br>   DIRECCION   CRA. 28 CALLE 56,,,,,-1,0,-1,,
